rid,stable_id,joke,joke_cleaned,word_count,topic,topic_all_nouns,combo_key,combo_freq
4665,01ae515770fe8f730e136ed6a588bce4a5b058ed,"Why does a chicken coop only have two doors — Because if it had four, it would be a chicken sedan","why does a chicken coop only have two doors because if it had four , it would be a chicken sedan",21,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
27354,09bda29aa7a43fb62dab85fa76249fd6dae34b58,Why does a chicken coop have 2 doors? If it had 4 doors it would be a chicken sedan!,why does a chicken coop have 2 doors ? if it had 4 doors it would be a chicken sedan !,21,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
29895,0aa517470a1ba120b1f695272d010f71d538f886,"Why do chicken coops have two doors — Because if they had four, it would be a chicken sedan","why do chicken coops have two doors because if they had four , it would be a chicken sedan",19,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
41117,0ea147b2ce5f03b370e4b1134df82110d73769e8,Why can't a chicken coop have more than two doors — Because if it had 4 doors it would be called chicken sedan,why can't a chicken coop have more than two doors because if it had 4 doors it would be called chicken sedan,22,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
47801,10fe875ffb6839eb001d4bda19fc3774bdb59e16,Why do chicken coops only have two doors — If there were four it would be called a chicken sedan,why do chicken coops only have two doors if there were four it would be called a chicken sedan,19,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
51716,12570e780b6155020cdae087fa93739602f56992,Why does a chicken coop only have 2 doors — Because if it had 4 it would be a chicken sedan,why does a chicken coop only have 2 doors because if it had 4 it would be a chicken sedan,20,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
52711,12b2b80c8cf88ce60216295c4d1f80830d30d46f,Why do chicken coops have 2 doors — Because if they had 4 they'd be a chicken sedan!,why do chicken coops have 2 doors because if they had 4 they'd be a chicken sedan !,18,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
61516,15c8ba5a685910e709124068a2c382c448e162db,Why does a chicken coop only have two doors? If it had four it would be a sedan.,why does a chicken coop only have two doors ? if it had four it would be a sedan .,20,"coop, door, sedan","chicken, sedan, coop, door","chicken, coop, door, sedan",157
63400,16754806c59fe037bbd6382d2c957822d9a61d0c,"Why do chicken coops only have two doors? Because if they had four, it would be a chicken sedan","why do chicken coops only have two doors ? because if they had four , it would be a chicken sedan",21,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
66208,176fd24408b692ec517d0bd963ef136932b74c19,"Why do chicken coops only have two doors — Because if they had four, they would be chicken sedans","why do chicken coops only have two doors because if they had four , they would be chicken sedans",19,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
67098,17c20a0609b200bceb57f6c6033725c9acf0f768,"Why do Chicken coops only have 2 doors — Because if they have four, they would be chicken sedans","why do chicken coops only have 2 doors because if they have four , they would be chicken sedans",19,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
68776,185a5436b3c0df0cb42ec37b169d67dc3d3ebfd6,Why do chicken coops only have two doors? Because if it had four doors it'd be a chicken sedan,why do chicken coops only have two doors ? because if it had four doors it'd be a chicken sedan,20,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
76544,1b035084ecbaa7d93e79ac3fb3d37ff8c3b4181f,Why does a chicken coop only have 2 doors? If it had 4 it would be a chicken sedan,why does a chicken coop only have 2 doors ? if it had 4 it would be a chicken sedan,20,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
76870,1b2078e122674e1e08717d201ab31f1fef841902,"Why don't chicken coops have four doors? Because then they'd be chicken sedans, you dummies.","why don't chicken coops have four doors ? because then they'd be chicken sedans , you dummies .",18,"coop, door, sedan","chicken, sedan, coop, door","chicken, coop, door, sedan",157
78438,1ba8d7675d1d43c99e714c3cdaf2c651079d26c0,"Why does a chicken coop have 2 doors? If it had 4 doors, it'd be a chicken sedan.","why does a chicken coop have 2 doors ? if it had 4 doors , it'd be a chicken sedan .",21,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
78967,1bd89431c10b6c55992f5aa36d421109a36a010f,"How many doors are on a chicken coop? Two. If it had four, it would be a sedan.","how many doors are on a chicken coop ? two . if it had four , it would be a sedan .",22,"door, coop, sedan","chicken, sedan, door, coop","chicken, coop, door, sedan",157
79571,1c11fda4c3efdf4807c35807bc235fe1f8b1e236,Why does a chicken coop only have two doors? Because if it had four doors it'd be a chicken sedan.,why does a chicken coop only have two doors ? because if it had four doors it'd be a chicken sedan .,22,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
82375,1d096adb99adad7e54e778391df7f4f7e94749ed,Why do chicken coops have two doors — If there were four it would be a chicken sedan,why do chicken coops have two doors if there were four it would be a chicken sedan,17,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
82717,1d27b2ac136d653aaf121018dc58a6d9ef0d94fe,Why don't chicken coops have Four doors? because then they would be Chicken sedans,why don't chicken coops have four doors ? because then they would be chicken sedans,15,"coop, door, sedan","chicken, sedan, coop, door","chicken, coop, door, sedan",157
84571,1dd6e13709269a7c8986986db83fa585d1f950e3,Why do chicken coops have 2 doors? Because if they had 4 they'd be chicken sedans.,why do chicken coops have 2 doors ? because if they had 4 they'd be chicken sedans .,18,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
86769,1e9b6b2a2ead5a8ce7f5fc53da0c6e58d919d5f9,Why do chicken coops only have 2 doors? Because if it had 4 doors it would be called a chicken sedan.,why do chicken coops only have 2 doors ? because if it had 4 doors it would be called a chicken sedan .,23,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
87279,1ec9217f27358de6de5694b358f010ec796d8f41,"Why do chicken coops have 2 doors? Because if they had 4 doors, they would be chicken sedans.","why do chicken coops have 2 doors ? because if they had 4 doors , they would be chicken sedans .",21,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
91227,20327755810a08f4ef8b51a12d1a0489ef7c9fec,"Why does a chicken coop have two doors — Because if it had four doors, it would be a chicken sedan","why does a chicken coop have two doors because if it had four doors , it would be a chicken sedan",21,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
94372,21560bff7cb978a7293060027064c70487cb5a64,Why do chicken coops have two doors? Because if they had four it would be a sedan.,why do chicken coops have two doors ? because if they had four it would be a sedan .,19,"coop, door, sedan","chicken, sedan, coop, door","chicken, coop, door, sedan",157
95605,21bd666e517f75ea952ae8c6e5a8d329cdd0859f,Why don't chicken coops have four doors? They would be chicken sedans,why don't chicken coops have four doors ? they would be chicken sedans,13,"coop, door, sedan","chicken, sedan, coop, door","chicken, coop, door, sedan",157
97290,22540c26d9e8c26d967293e39891e4adf4754df4,"Why do chicken coops only have 2 doors — Because if they had 4 doors, they would be called chicken sedans )","why do chicken coops only have 2 doors because if they had 4 doors , they would be called chicken sedans )",22,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
104097,24b9e0fa260b91218139c5e8c81b103cc16e1436,"Why does a Chicken Coop have only two doors — Because if it had four, it would be a chicken sedan","why does a chicken coop have only two doors because if it had four , it would be a chicken sedan",21,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
106547,25a0876a70875c0a6096225e8a7a7ff4f1c6a619,"Why can't a chicken coop have more than two doors? Because if it had four, it would be a chicken sedan.","why can't a chicken coop have more than two doors ? because if it had four , it would be a chicken sedan .",24,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
106962,25c8816ca67ddd801bdb3595a07af706900c08c0,Why does a chicken coop only have two doors? Because if it had four doors it would be a chicken sedan.,why does a chicken coop only have two doors ? because if it had four doors it would be a chicken sedan .,23,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
116607,2925866ef0b076d7381655cba3b1895d2e71d46a,"Why do chicken coops have 2 doors? Because if they had 4 doors, they'd be chicken sedans","why do chicken coops have 2 doors ? because if they had 4 doors , they'd be chicken sedans",19,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
118992,29f686f6fcc678884fe4e59ef783faa1118212dd,Why do chicken coops only have two doors? If they had 4 doors they'd be chicken sedans.,why do chicken coops only have two doors ? if they had 4 doors they'd be chicken sedans .,19,"door, chicken, coop","chicken, door, sedan, coop","chicken, coop, door, sedan",157
121296,2abb83c88bb21e0ab2952a16c607605463e346c7,Why do chicken coops have two doors? Because if they had four they would be sedans.,why do chicken coops have two doors ? because if they had four they would be sedans .,18,"coop, door, sedan","chicken, sedan, coop, door","chicken, coop, door, sedan",157
155936,36f636ff30e27a7dfeddd675a554d9dc5e8aef96,"Did you know that a chicken coop can't have more than 3 doors? If it has 4 doors, it's a sedan.","did you know that a chicken coop can't have more than 3 doors ? if it has 4 doors , it's a sedan .",24,"door, coop, sedan","door, chicken, sedan, coop","chicken, coop, door, sedan",157
157013,37545e1670d08c9cc188459e465f0040efe1c5fa,Why do chocken coops only have two doors? Because if they had four they'd be called chicken sedans.,why do chocken coops only have two doors ? because if they had four they'd be called chicken sedans .,20,"coop, door, sedan","chicken, sedan, coop, door","chicken, coop, door, sedan",157
161649,38fd292ea59bae0f7972ecb9d1e8b1d0f1f39e56,"Why do chicken coops have only 2 doors? If they had 4, it would be a chicken sedan! I'm so sorry","why do chicken coops have only 2 doors ? if they had 4 , it would be a chicken sedan ! i'm so sorry",24,"chicken, coop, door","chicken, sedan, coop, door","chicken, coop, door, sedan",157
