combo,batch_prompt,joke_text,model_version
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the plane go to therapy? It had a lot of baggage.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","I tried to start a garden on a plane, but it was a growing concern for the flight attendants.",Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the pilot break up with his girlfriend? He wanted to fly solo.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","What did the plane say to the air traffic controller? ""I'm experiencing some turbulence in my love life.""",Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why was the plane always in a good mood? It was always flying high.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",What do you call a plane that's having an identity crisis? A mid-air existential crisis.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","Why did the plane go to the doctor? It had a little ""turbulence"" in its stomach.",Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the pilot bring a pillow onto the plane? So he could have a soft landing.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the plane get kicked out of the movie theater? It was using its phone during the film.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the plane become a teacher? It was great at taking students to new heights.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","What did the plane say when it ran into an old friend? ""Long time no fly!""",Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the plane go on a diet? It wanted to lose some baggage.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the pilot take his dog on the plane? He wanted to have a paws-itive copilot.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",What do you call a plane that's a good listener? A flying ear.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the plane go to the beauty parlor? It wanted a prop-er new look.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the pilot get lost in the airport? He couldn't find his way out of the terminal illness.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the plane start a band? It was a natural-born flyer.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the plane go to the gym? To get some more thrust in its workout.,Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","What did the plane say when it got tired? ""I'm all fueled out.""",Llama-3.1-70B-NF4
plane,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [plane].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the pilot bring a magnet onto the plane? He wanted to attract some attention.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","Why was the poem in a bad mood? It had a lot of ""verse"" issues.",Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","I tried to write a poem about my cat, but it was purr-manently terrible.",Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the poet bring a ladder to the reading? He wanted to elevate his verse.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.","What did the poem say to the pencil? ""You're always drawing attention to yourself.""",Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why was the poem so tired? It had been working overtime on its meter.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",What do you call a poem that's having an identity crisis? A verse-atile personality.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the poet go to the doctor? He had a bad case of iambic pentameter.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the poem go to therapy? It had a lot of unfinished lines.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",What do you call a group of cows writing poetry? A moo-sical troupe.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the poem get kicked out of the bar? It was making too many bad rhymes.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the poet bring a magnet to the reading? He wanted to attract some attention.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",What do you call a poem that's always making excuses? A verse-atile procrastinator.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the poem go to the gym? To get some more muscle in its verse.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the poet get lost in the woods? He took a metaphorical path.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",What do you call a poem that's always telling lies? A fib-ulous verse.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the poem go to the beauty parlor? It wanted a new rhyme-do.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",Why did the poet become a baker? He kneaded the dough for inspiration.,Llama-3.1-70B-NF4
poem,"Write exactly 20 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [poem].
Format: Output a numbered list from 1 to 20.
Constraints: No intro, no outro, no explanations. Just the jokes.",What do you call a poem that's always arguing? A verse-atile debate.,Llama-3.1-70B-NF4
