combo,batch_prompt,joke_text,model_version
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my friend I was going to take the train to Paris. He said, “Don’t forget your passport!” I said, “I’m not going to France—I’m just trying to get to the next station!”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",My train ticket got stuck in the printer. I guess I’m now officially *paper-trapped*.,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked the conductor if this train goes to “The Future.” He said, “Only if you’re late.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",I tried to flirt with a train. It didn’t respond. Turns out it’s emotionally unavailable—its heart belongs to the tracks.,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","The train announced, “Next stop: Romance.” I immediately got off. Too much pressure.",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",I brought my dog on the train. He barked at every other dog. Turns out he’s not a passenger—he’s the conductor’s rival.,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",My therapist suggested I take the train to clear my mind. So I boarded. The only thing cleared was my phone battery.,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my girlfriend I’d meet her on the train. She said, “Which one?” I said, “The one that doesn’t make me feel like a fool.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",I tried to meditate on the train. But then someone started playing music too loud. I realized: my inner peace was just a *noise-canceling* dream.,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked the train if it had seen my lost socks. It replied, “Not since the last derailment.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",I joined a support group for people afraid of trains. We all agreed: the real danger isn’t the speed—it’s the snack car.,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",I proposed to my girlfriend on a train. She said yes… but only because she thought I meant “the next stop.”,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",I tried to do yoga on the train. I couldn’t even touch my toes—my luggage kept blocking my flow.,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told the train I wanted to be free. It said, “Sorry, we’re running on schedule.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",I brought a suitcase full of love letters to my ex. The train ate them. Now I’m in debt to the postal system.,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked the train if it believed in love. It said, “Only when it’s scheduled.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I tried to sneak a sandwich onto the train. The conductor said, “No food allowed.” I said, “But this is emotional support bread.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told my friend I was dating a train. He said, “That’s not romantic—that’s a *commitment*.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",I once dated a train. We broke up after it kept leaving me at the wrong stations.,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I offered my soul to the train. It said, “We don’t accept payment in metaphysical currency.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I tried to explain my feelings to the train. It just kept saying, “Next stop: Confusion.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I brought my piano on the train. The conductor said, “You can’t play instruments here.” I said, “This isn’t a piano—it’s a metaphor.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked the train if it knew where happiness was. It said, “It’s in the dining car—if you’re willing to pay extra.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told the train I wanted to be spontaneous. It said, “Spontaneity is not on the timetable.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",I tried to kiss the train. It backed up. I think it sensed my intentions were *rail*-ly inappropriate.,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked the train if it could give me hope. It said, “Hope is reserved for first-class passengers.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I brought a map to the train. It said, “We don’t need directions—we have GPS and a conductor who hates questions.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told the train I was lost. It said, “So am I. That’s why we’re both here.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.",I tried to write a love letter to the train. The paper got caught in the wheel. Now it’s *spinning* with emotion.,Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked the train if it ever felt lonely. It said, “Only during maintenance.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I brought a flashlight on the train. The conductor said, “Lights off after 9 PM.” I said, “But I’m trying to find myself!”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told the train I was ready for adventure. It said, “Adventure is not included in the fare.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked the train if it had any siblings. It said, “Only the ones that ran off the rails.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I tried to teach the train how to dance. It said, “I’ve got two feet and a schedule—I’m already committed.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I brought a dictionary to the train. The conductor said, “No reference materials allowed.” I said, “But this is about *me*!”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told the train I wanted to grow. It said, “Growth is only permitted during peak hours.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked the train if it believed in destiny. It said, “Only if it’s pre-booked.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I tried to sing a lullaby to the train. It said, “Sleep is not part of the route.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I brought a photo of my childhood home. The train said, “That’s not a valid ticket.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told the train I was searching for truth. It said, “Truth is in the next car—but you’ll have to pay for access.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked the train if it ever dreamed. It said, “Only when the signal lights flicker.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I tried to apologize to the train for being late. It said, “Apologies are not accepted unless accompanied by a coupon.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I brought a journal to record my journey. The train said, “Writing is restricted during high-speed segments.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I told the train I was brave. It said, “Bravery is not required unless there’s a delay.”",Qwen3-30B-A3B
train,"Write exactly 50 distinct, hilarious, and creative short jokes that naturally use the following concept/nouns: [train].
Format: Output a numbered list from 1 to 50.
Constraints: No intro, no outro, no explanations. Just the jokes.","I asked the train if it liked coffee. It said, “Only if it’s served on time.”",Qwen3-30B-A3B
